Test Case ID,a,b,expexted,actualValue,Result
1,40,25,30,65,False
2,20,25,30,45,False
3,30,25,30,55,False
4,41,25,30,66,False
5,19,25,30,44,False
6,40,10,30,50,False
7,20,10,30,30,TRUE
8,30,10,30,40,False
9,41,10,30,51,False
10,19,10,30,29,False
11,40,17,30,57,False
12,20,17,30,37,False
13,30,17,30,47,False
14,41,17,30,58,False
15,19,17,30,36,False
16,40,26,30,66,False
17,20,26,30,46,False
18,30,26,30,56,False
19,41,26,30,67,False
20,19,26,30,45,False
21,40,9,30,49,False
22,20,9,30,29,False
23,30,9,30,39,False
24,41,9,30,50,False
25,19,9,30,28,False
