Test Case ID,a,b,expexted,actualValue,Result
1,40,25,30,1000,False
2,20,25,30,500,False
3,30,25,30,750,False
4,41,25,30,1025,False
5,19,25,30,475,False
6,40,10,30,400,False
7,20,10,30,200,False
8,30,10,30,300,False
9,41,10,30,410,False
10,19,10,30,190,False
11,40,17,30,680,False
12,20,17,30,340,False
13,30,17,30,510,False
14,41,17,30,697,False
15,19,17,30,323,False
16,40,26,30,1040,False
17,20,26,30,520,False
18,30,26,30,780,False
19,41,26,30,1066,False
20,19,26,30,494,False
21,40,9,30,360,False
22,20,9,30,180,False
23,30,9,30,270,False
24,41,9,30,369,False
25,19,9,30,171,False
